CODIGO_CUM	DESCRIPCION_MATERIAL
212764-6	HIDROCLOROTIAZIDA
19978105-1	VALSARTAN
20041735-5	PREGABALINA
20078974-42	ROSUVASTATINA CÁLCICAEQUIVALENTE A ROSUVASTATINABASE
1981505-17	GEMFIBROZILO
20082695-1	CLORHIDRATO DE METFORMINA
20023511-3	LINAGLIPTINA
20140779-2	TAMSULOSINA CLORHIDRATO
20089355-30	ROSUVASTATINA CÁLCICA 41.66 MG EQUIVALENTE A ROSUVASTATICA BASE
20032011-9	ÓXIDO DE ZINC
20012566	GASA ESTERIL 7.5CMX7.5CM SOBX2 BOLX24 (CUREBAND) - ADHINTER
20061399-38	NIFEDIPINO
19960116-15	LEVOTIROXINA SODICA
139-W4	PAÑAL DESECHABLE ETAPA 4
55894-14	AMLODIPINO BESILATOEQUIVALENTE A AMLODIPINO BASE
20047167-5	VALSARTAN
20082364-1	TIOTROPIO
41072-10	OMEPRAZOL PELLETS 8.5%EQUIVALENTE A OMEPRAZOL BASE
17144-8	AMITRIPTILINA CLORHIDRATO
19953922-2	BISACODILO
19965499-11	LOSARTAN POTÁSICO
20004400	BOLSA DE DRENAJE URINARIO CISTOFLO ADULTO (UND)
20282663	SONDA FOLEY 2 VIAS #16FR CX10 - LIFE CARE
20070719-3	BETAMETASONA DIPROPIONATO 0.064 G EQUIVALENTE A BETAMETASONA BASE
20027209-3	ACETATO DE ALUMINIO
19973788-4	CLOTRIMAZOL CLOTRIMAZOL 1% CREMA TOPICA
46147-6	CLORHIDRATO DE AMOROLFINA6.4 G (EQUIVALENTE A AMOROLFINA BASE)
19979471-6	OLANZAPINA
20016549-134	ACIDO VALPROICO
19963298-2	LEFLUNOMIDA MICRONIZADA
19942963-3	CARBONATO DE CALCIO 1500 MGEQUIVALENTE A CALCIO
19923968-4	BIMATOPROST
20011983-1	SALBUTAMOLSULFATO
20122250-5	AZELASTINA + FLUTICASONA (137+50) MCG SUSPENSION NASAL-AZEFLU
20178033-15	FEXOFENADINA CLORHIDRATO
30969-2	CARBONATO DE CALCIO
20011017-18	CLORHIDRATO DE TAMSULOSINA
19962798-2	TERBINAFINA CLORHIDRATO
20001059-8	LEVOTIROXINA SODICA
40260-9	CIANOCOBALAMINA
20048020-28	VALSARTAN
19915315-2	NEBIVOLOL CLORHIDRATO 5.45 MG EQUIVALENTE A NEBIVOLOL
19973061-5	ESPIRONOLACTONA MICRONIZADAUSP
19936296-12	ACIDO ACETIL SALICÍLICO
19965499-13	LOSARTAN POTÁSICO
19935303-4	ACETAMINOFEN
20092728-5	BETAMETASONA VALERATO EQUIVALENTE A BETAMETASONA BASE
19976372-1	HIDROCORTISONA
19932573-3	SERTRALINA CLORHIDRATO56.0 MG ( EQUIVALENTE A SERTRALINA BASE)
20016549-64	ACIDO VALPROICO
20094683-1	LIRAGLUTIDA
20015903-32	FLUOXETINA CLORHIDRATO 22.360 MGEQUIVALENTE A FLUOXETINA BASE
19941742-5	TRAZODONA CLORHIDRATO
19935303-2	ACETAMINOFEN
17145-9	NAPROXENO BASE
20061998-3	EMPAGLIFLOZINA
20085383-15	ATORVASTATINA CALCICA TRIHIDRATO 43.30MG EQUIVALENTE AATORVASTATINA
19908192-7	BISOPROPOL FUMARATO
20088574-1	ENTRESTO® 50 MG TABLETA CUBIERTA CON PELICULA ORAL
20040898-3	APIXABAN
20067183-2	DAPAGLIFLOZINA PROPANODIOL MONOHIDRATO 12.3MG EQUIVALENTE A 10 MG DE DAPAGLIFLOZINA
19942545-1	CALCITRIOL
19965075-7	MELOXICAM
19980025-10	BETAMETASONA SODIO FOSFATO EQUIVALENTE A BETAMETASONA BASE
19976372-3	HIDROCORTISONA 1% HIDROCORTISONA 1% CREMA TOPICA
43493-6	CLORFENIRAMINA MALEATO
19935759-8	BECLOMETASONA DIPROPIONATO ANHIDRA
20094550-1	CLORHIDRATO DE FEXOFENADINA
19924904-1	DESONIDA
